:Data_list: ace_swepam_1m.txt
:Created: 2022 Sep 27 2325 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2022 09 27  2232   59849   81120    0        0.6      666.4     3.96e+05
2022 09 27  2233   59849   81180    0        0.6      650.8     3.60e+05
2022 09 27  2234   59849   81240    0        0.7      643.9     3.52e+05
2022 09 27  2235   59849   81300    0        0.9      648.0     4.52e+05
2022 09 27  2236   59849   81360    1        0.8      605.1     3.68e+05
2022 09 27  2237   59849   81420    0        0.8      628.5     3.81e+05
2022 09 27  2238   59849   81480    0        0.9      643.4     3.63e+05
2022 09 27  2239   59849   81540    0        0.6      626.2     3.10e+05
2022 09 27  2240   59849   81600    0        0.8      638.6     4.24e+05
2022 09 27  2241   59849   81660    1        0.9      610.9     3.42e+05
2022 09 27  2242   59849   81720    0        0.8      612.6     3.37e+05
2022 09 27  2243   59849   81780    0        0.8      620.9     3.45e+05
2022 09 27  2244   59849   81840    0        0.8      613.4     3.14e+05
2022 09 27  2245   59849   81900    1        0.7      604.3     3.32e+05
2022 09 27  2246   59849   81960    1        0.7      599.5     3.70e+05
2022 09 27  2247   59849   82020    1        0.7      603.3     3.84e+05
2022 09 27  2248   59849   82080    1        0.7      632.0     3.86e+05
2022 09 27  2249   59849   82140    0        0.8      663.4     4.02e+05
2022 09 27  2250   59849   82200    0        0.8      648.0     4.11e+05
2022 09 27  2251   59849   82260    0        0.6      614.8     3.52e+05
2022 09 27  2252   59849   82320    1        0.6      611.3     3.31e+05
2022 09 27  2253   59849   82380    0        0.6      605.4     2.63e+05
2022 09 27  2254   59849   82440    1        0.7      613.3     2.99e+05
2022 09 27  2255   59849   82500    1        0.6      607.9     2.71e+05
2022 09 27  2256   59849   82560    0        0.7      611.5     2.86e+05
2022 09 27  2257   59849   82620    0        0.6      612.9     3.33e+05
2022 09 27  2258   59849   82680    1        0.6      606.8     3.10e+05
2022 09 27  2259   59849   82740    1        0.6      607.3     3.75e+05
2022 09 27  2300   59849   82800    1        0.6      608.1     4.01e+05
2022 09 27  2301   59849   82860    0        0.6      606.0     3.72e+05
2022 09 27  2302   59849   82920    1        0.6      614.7     4.09e+05
2022 09 27  2303   59849   82980    1        0.6      627.1     4.45e+05
2022 09 27  2304   59849   83040    0        0.6      666.9     4.31e+05
2022 09 27  2305   59849   83100    1        0.7      699.2     4.13e+05
2022 09 27  2306   59849   83160    0        0.7      662.3     4.18e+05
2022 09 27  2307   59849   83220    0        0.7      664.1     3.90e+05
2022 09 27  2308   59849   83280    0        0.5      650.0     3.49e+05
2022 09 27  2309   59849   83340    0        0.5      638.0     3.24e+05
2022 09 27  2310   59849   83400    0        0.7      627.8     3.34e+05
2022 09 27  2311   59849   83460    1        0.4      574.2     1.33e+05
2022 09 27  2312   59849   83520    0        0.5      577.4     1.86e+05
2022 09 27  2313   59849   83580    0        0.4      571.4     1.56e+05
2022 09 27  2314   59849   83640    0        0.4      588.7     3.38e+05
2022 09 27  2315   59849   83700    1        0.2      555.9     1.38e+05
2022 09 27  2316   59849   83760    1        0.3      577.1     2.62e+05
2022 09 27  2317   59849   83820    1        0.3      586.4     2.97e+05
2022 09 27  2318   59849   83880    1        0.4      589.7     3.20e+05
2022 09 27  2319   59849   83940    1        0.5      595.0     3.85e+05
2022 09 27  2320   59849   84000    1        0.4      591.4     3.87e+05
2022 09 27  2321   59849   84060    1        0.5      589.5     3.65e+05
2022 09 27  2322   59849   84120    1        0.6      589.3     3.37e+05
2022 09 27  2323   59849   84180    9    -9999.9    -9999.9    -1.00e+05
