:Data_list: ace_mag_1m.txt
:Created: 2022 Oct 01 0235 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2022 10 01  0120   59853    4800    0    -7.7     0.8    -0.4     7.8    -3.3   174.0
2022 10 01  0121   59853    4860    0    -7.7     0.9    -0.6     7.8    -4.1   173.6
2022 10 01  0122   59853    4920    0    -7.7     0.9    -0.5     7.8    -3.8   173.6
2022 10 01  0123   59853    4980    0    -7.6     1.1    -0.5     7.7    -3.9   171.6
2022 10 01  0124   59853    5040    0    -7.7     1.1    -0.4     7.7    -3.0   172.2
2022 10 01  0125   59853    5100    0    -7.7     0.8    -0.3     7.8    -2.3   173.7
2022 10 01  0126   59853    5160    0    -7.7     0.8    -0.4     7.8    -3.1   174.1
2022 10 01  0127   59853    5220    0    -7.8     0.8    -0.3     7.8    -2.3   174.2
2022 10 01  0128   59853    5280    0    -7.7     0.8    -0.7     7.7    -5.2   174.3
2022 10 01  0129   59853    5340    0    -7.7     0.8    -0.7     7.8    -5.1   174.4
2022 10 01  0130   59853    5400    0    -7.6     0.6    -0.5     7.6    -3.7   175.7
2022 10 01  0131   59853    5460    0    -7.7     0.6    -0.4     7.7    -3.1   175.7
2022 10 01  0132   59853    5520    0    -7.6     0.7    -0.4     7.7    -3.2   174.5
2022 10 01  0133   59853    5580    0    -7.7     0.8    -0.6     7.7    -4.2   174.3
2022 10 01  0134   59853    5640    0    -7.7     0.6    -0.5     7.7    -4.0   175.4
2022 10 01  0135   59853    5700    0    -7.7     0.5    -0.5     7.7    -3.8   176.0
2022 10 01  0136   59853    5760    0    -7.7     0.6    -0.7     7.7    -5.1   175.3
2022 10 01  0137   59853    5820    0    -7.7     0.4    -0.6     7.7    -4.7   177.2
2022 10 01  0138   59853    5880    0    -7.7     0.2    -0.6     7.7    -4.1   178.3
2022 10 01  0139   59853    5940    0    -7.7     0.4    -0.6     7.7    -4.1   177.2
2022 10 01  0140   59853    6000    0    -7.6     0.5    -0.7     7.7    -4.9   176.5
2022 10 01  0141   59853    6060    0    -7.6     0.3    -0.9     7.7    -6.5   177.8
2022 10 01  0142   59853    6120    0    -7.6     0.4    -0.7     7.6    -5.2   176.9
2022 10 01  0143   59853    6180    0    -7.5     0.5    -0.8     7.6    -5.8   176.0
2022 10 01  0144   59853    6240    0    -7.6     0.4    -0.9     7.6    -6.5   177.0
2022 10 01  0145   59853    6300    0    -7.6     0.4    -0.9     7.7    -7.0   176.9
2022 10 01  0146   59853    6360    0    -7.6     0.4    -0.9     7.6    -7.1   177.1
2022 10 01  0147   59853    6420    0    -7.6     0.4    -1.0     7.7    -7.5   177.3
2022 10 01  0148   59853    6480    0    -7.6     0.2    -1.1     7.7    -8.4   178.3
2022 10 01  0149   59853    6540    0    -7.6     0.3    -0.9     7.6    -6.9   177.9
2022 10 01  0150   59853    6600    0    -7.6     0.2    -0.9     7.7    -7.1   178.4
2022 10 01  0151   59853    6660    0    -7.7     0.4    -0.9     7.7    -6.9   177.1
2022 10 01  0152   59853    6720    0    -7.6     0.4    -0.9     7.7    -7.0   177.3
2022 10 01  0153   59853    6780    0    -7.5     0.4    -0.9     7.6    -7.0   177.1
2022 10 01  0154   59853    6840    0    -7.4     0.3    -1.0     7.5    -7.6   178.0
2022 10 01  0155   59853    6900    0    -7.6     0.5    -0.7     7.6    -5.0   176.3
2022 10 01  0156   59853    6960    0    -7.6     0.5    -0.5     7.7    -3.5   176.1
2022 10 01  0157   59853    7020    0    -7.6     0.4    -0.5     7.6    -3.6   176.8
2022 10 01  0158   59853    7080    0    -7.7     0.3    -0.5     7.7    -3.5   177.4
2022 10 01  0159   59853    7140    0    -7.6     0.5    -0.6     7.7    -4.4   176.3
2022 10 01  0200   59853    7200    0    -7.7     0.6    -0.5     7.7    -3.7   175.9
2022 10 01  0201   59853    7260    0    -7.6     0.5    -0.6     7.7    -4.7   176.5
2022 10 01  0202   59853    7320    0    -7.7     0.3    -0.7     7.7    -5.5   178.0
2022 10 01  0203   59853    7380    0    -7.7     0.2    -0.7     7.7    -5.1   178.9
2022 10 01  0204   59853    7440    0    -7.6     0.2    -0.7     7.7    -5.6   178.5
2022 10 01  0205   59853    7500    0    -7.6     0.3    -0.7     7.6    -5.2   177.5
2022 10 01  0206   59853    7560    0    -7.6     0.3    -0.8     7.6    -5.7   178.0
2022 10 01  0207   59853    7620    0    -7.6     0.3    -0.6     7.7    -4.3   177.8
2022 10 01  0208   59853    7680    0    -7.6     0.3    -0.6     7.7    -4.1   177.6
2022 10 01  0209   59853    7740    0    -7.7     0.3    -0.6     7.7    -4.7   177.5
2022 10 01  0210   59853    7800    0    -7.6     0.3    -0.7     7.7    -5.6   178.0
2022 10 01  0211   59853    7860    0    -7.6     0.3    -0.7     7.6    -5.5   177.6
2022 10 01  0212   59853    7920    0    -7.6     0.2    -0.8     7.6    -6.2   178.7
2022 10 01  0213   59853    7980    0    -7.6     0.3    -0.7     7.6    -5.5   177.9
2022 10 01  0214   59853    8040    0    -7.6     0.3    -0.9     7.6    -6.8   178.0
2022 10 01  0215   59853    8100    0    -7.5     0.3    -0.8     7.6    -6.0   177.6
2022 10 01  0216   59853    8160    0    -7.5     0.3    -1.0     7.5    -7.6   178.1
2022 10 01  0217   59853    8220    0    -7.6     0.3    -0.7     7.6    -5.3   177.8
2022 10 01  0218   59853    8280    0    -7.6     0.1    -0.6     7.6    -4.8   178.9
2022 10 01  0219   59853    8340    0    -7.5     0.2    -0.6     7.6    -4.2   178.5
2022 10 01  0220   59853    8400    0    -7.5     0.4    -1.0     7.6    -7.6   177.0
2022 10 01  0221   59853    8460    0    -7.5     0.3    -1.1     7.6    -8.2   177.9
2022 10 01  0222   59853    8520    0    -7.5     0.3    -0.9     7.6    -6.4   178.1
2022 10 01  0223   59853    8580    0    -7.5     0.5    -0.7     7.6    -5.2   176.1
2022 10 01  0224   59853    8640    0    -7.5     0.7    -0.8     7.5    -5.8   174.5
2022 10 01  0225   59853    8700    0    -7.5     0.4    -0.8     7.5    -5.9   176.7
2022 10 01  0226   59853    8760    0    -7.5     0.5    -0.9     7.5    -6.7   176.1
2022 10 01  0227   59853    8820    0    -7.5     0.4    -0.9     7.6    -6.7   177.2
2022 10 01  0228   59853    8880    0    -7.5     0.3    -0.9     7.6    -6.6   177.7
2022 10 01  0229   59853    8940    0    -7.6     0.2    -0.9     7.6    -6.5   178.4
2022 10 01  0230   59853    9000    0    -7.5     0.2    -0.8     7.6    -6.2   178.7
2022 10 01  0231   59853    9060    0    -7.6     0.2    -0.9     7.6    -6.7   178.9
2022 10 01  0232   59853    9120    0    -7.4     0.0    -0.9     7.5    -7.0   179.7
2022 10 01  0233   59853    9180    0    -7.5     0.1    -0.9     7.6    -7.2   179.3
